Mortality Type,Sex,Year,Deaths
Avoidable mortality,Total,2000,38535.5
Preventable mortality,Total,2000,24198.5
Treatable mortality,Total,2000,14337
Avoidable mortality,Total,2001,37392
Preventable mortality,Total,2001,23407
Treatable mortality,Total,2001,13985
Avoidable mortality,Total,2002,36718
Preventable mortality,Total,2002,22894
Treatable mortality,Total,2002,13824
Avoidable mortality,Total,2003,35458
Preventable mortality,Total,2003,22042
Treatable mortality,Total,2003,13416
Avoidable mortality,Total,2004,34446
Preventable mortality,Total,2004,21688
Treatable mortality,Total,2004,12758
Avoidable mortality,Total,2005,0
Preventable mortality,Total,2005,0
Treatable mortality,Total,2005,0
Avoidable mortality,Total,2006,33193
Preventable mortality,Total,2006,21039
Treatable mortality,Total,2006,12154
Avoidable mortality,Total,2007,33731.5
Preventable mortality,Total,2007,21454.5
Treatable mortality,Total,2007,12277
Avoidable mortality,Total,2008,34622.5
Preventable mortality,Total,2008,22242.5
Treatable mortality,Total,2008,12380
Avoidable mortality,Total,2009,34807.5
Preventable mortality,Total,2009,22556.5
Treatable mortality,Total,2009,12251
Avoidable mortality,Total,2010,34399.5
Preventable mortality,Total,2010,22338.5
Treatable mortality,Total,2010,12061
Avoidable mortality,Total,2011,34582.5
Preventable mortality,Total,2011,22486.5
Treatable mortality,Total,2011,12096
Avoidable mortality,Total,2012,34062.5
Preventable mortality,Total,2012,22264.5
Treatable mortality,Total,2012,11798
Avoidable mortality,Total,2013,34840.5
Preventable mortality,Total,2013,22913.5
Treatable mortality,Total,2013,11927
Avoidable mortality,Total,2014,35953
Preventable mortality,Total,2014,23798
Treatable mortality,Total,2014,12155
Avoidable mortality,Total,2015,36981
Preventable mortality,Total,2015,24592
Treatable mortality,Total,2015,12389
Avoidable mortality,Total,2016,36459.5
Preventable mortality,Total,2016,24107.5
Treatable mortality,Total,2016,12352
Avoidable mortality,Total,2017,36965.5
Preventable mortality,Total,2017,24760.5
Treatable mortality,Total,2017,12205
Avoidable mortality,Total,2018,36958
Preventable mortality,Total,2018,24812
Treatable mortality,Total,2018,12146
Avoidable mortality,Total,2019,38993
Preventable mortality,Total,2019,26088
Treatable mortality,Total,2019,12905
Avoidable mortality,Total,2020,37042.5
Preventable mortality,Total,2020,24767.5
Treatable mortality,Total,2020,12275
Avoidable mortality,Total,2021,37693.5
Preventable mortality,Total,2021,25354.5
Treatable mortality,Total,2021,12339
Avoidable mortality,Total,2022,40450.5
Preventable mortality,Total,2022,27671.5
Treatable mortality,Total,2022,12779
Avoidable mortality,Female,2000,13651
Preventable mortality,Female,2000,7174.5
Treatable mortality,Female,2000,6476.5
Avoidable mortality,Female,2001,13217
Preventable mortality,Female,2001,6888
Treatable mortality,Female,2001,6329
Avoidable mortality,Female,2002,13205
Preventable mortality,Female,2002,6827
Treatable mortality,Female,2002,6378
Avoidable mortality,Female,2003,12591
Preventable mortality,Female,2003,6485
Treatable mortality,Female,2003,6106
Avoidable mortality,Female,2004,12281
Preventable mortality,Female,2004,6396.5
Treatable mortality,Female,2004,5884.5
Avoidable mortality,Female,2005,0
Preventable mortality,Female,2005,0
Treatable mortality,Female,2005,0
Avoidable mortality,Female,2006,11962
Preventable mortality,Female,2006,6374
Treatable mortality,Female,2006,5588
