Cause of Death,Sex,Year,Deaths
Diseases,Total,2000,79044
Neoplasms,Total,2000,36567
Mental Health,Total,2000,3077
External Sources,Total,2000,8173
Other,Total,2000,1910
Diseases,Total,2001,78896
Neoplasms,Total,2001,37459
Mental Health,Total,2001,2696
External Sources,Total,2001,7808
Other,Total,2001,1786
Diseases,Total,2002,81859
Neoplasms,Total,2002,38269
Mental Health,Total,2002,3157
External Sources,Total,2002,7786
Other,Total,2002,1963
Diseases,Total,2003,80514
Neoplasms,Total,2003,38266
Mental Health,Total,2003,3238
External Sources,Total,2003,7673
Other,Total,2003,2085
Diseases,Total,2004,79920
Neoplasms,Total,2004,38883
Mental Health,Total,2004,3406
External Sources,Total,2004,7970
Other,Total,2004,2123
Diseases,Total,2005,0
Neoplasms,Total,2005,0
Mental Health,Total,2005,0
External Sources,Total,2005,0
Other,Total,2005,0
Diseases,Total,2006,78601
Neoplasms,Total,2006,39770
Mental Health,Total,2006,5134
External Sources,Total,2006,8102
Other,Total,2006,2121
Diseases,Total,2007,81396
Neoplasms,Total,2007,40331
Mental Health,Total,2007,5691
External Sources,Total,2007,8232
Other,Total,2007,2198
Diseases,Total,2008,84177
Neoplasms,Total,2008,42423
Mental Health,Total,2008,6377
External Sources,Total,2008,8900
Other,Total,2008,2063
Diseases,Total,2009,81172
Neoplasms,Total,2009,41965
Mental Health,Total,2009,6518
External Sources,Total,2009,9071
Other,Total,2009,2025
Diseases,Total,2010,82062
Neoplasms,Total,2010,43316
Mental Health,Total,2010,7030
External Sources,Total,2010,8981
Other,Total,2010,2072
Diseases,Total,2011,84161
Neoplasms,Total,2011,43737
Mental Health,Total,2011,7641
External Sources,Total,2011,9209
Other,Total,2011,2171
Diseases,Total,2012,83721
Neoplasms,Total,2012,43511
Mental Health,Total,2012,8113
External Sources,Total,2012,9338
Other,Total,2012,2399
Diseases,Total,2013,83073
Neoplasms,Total,2013,44676
Mental Health,Total,2013,8191
External Sources,Total,2013,9171
Other,Total,2013,2561
Diseases,Total,2014,86952
Neoplasms,Total,2014,44741
Mental Health,Total,2014,9006
External Sources,Total,2014,10157
Other,Total,2014,2712
Diseases,Total,2015,89739
Neoplasms,Total,2015,46595
Mental Health,Total,2015,9605
External Sources,Total,2015,10662
Other,Total,2015,2443
Diseases,Total,2016,89146
Neoplasms,Total,2016,46331
Mental Health,Total,2016,9940
External Sources,Total,2016,10670
Other,Total,2016,2405
Diseases,Total,2017,90923
Neoplasms,Total,2017,46436
Mental Health,Total,2017,10164
External Sources,Total,2017,10934
Other,Total,2017,2620
Diseases,Total,2018,86652
Neoplasms,Total,2018,47945
Mental Health,Total,2018,10276
External Sources,Total,2018,11067
Other,Total,2018,2704
Diseases,Total,2019,92767
Neoplasms,Total,2019,49981
Mental Health,Total,2019,11052
External Sources,Total,2019,11898
